Date_2,Trade,Cost Category,"Cost
Code",Description,Actual Cost
1/7/2017,General,Main Office,,Head Office Administration,"15,381.14"
1/7/2017,General,Design and Drafting,,"Shop Drawings Coordination, Builder Work","11,535.85"
1/7/2017,Electrical,Materials_EL,,Electrical Materials,"34,607.55"
1/7/2017,HVAC,Materials_HVAC,,HVAC Material,"9,613.21"
1/7/2017,Plumbing & Drainage,Materials_PD,,PD Material,"46,143.41"
1/7/2017,General,Site Admin,,Site Management Cost,"28,839.63"
1/7/2017,General,Site Labour,,Site Labour,"28,839.63"
1/7/2017,General,Site Misc,,Miscellaneous Items,"17,303.78"
1/7/2017,General,Subcontractor,,Subcontractor,0
1/7/2017,General,Tools and Machinery,,Tools and Machinery (General),"5,767.93"
1/8/2017,General,Main Office,,Head Office Administration,"28,783.34"
1/8/2017,General,Design and Drafting,,"Shop Drawings Coordination, Builder Work","21,587.50"
1/8/2017,Electrical,Materials_EL,,Electrical Materials,"64,762.50"
1/8/2017,HVAC,Materials_HVAC,,HVAC Material,"17,989.58"
1/8/2017,Plumbing & Drainage,Materials_PD,,PD Material,"64,762.50"
1/8/2017,General,Site Admin,,Site Management Cost,"53,968.75"
1/8/2017,General,Site Labour,,Site Labour,"53,968.75"
1/8/2017,General,Site Misc,,Miscellaneous Items,"32,381.25"
1/8/2017,General,Subcontractor,,Subcontractor,0
1/8/2017,General,Tools and Machinery,,Tools and Machinery (General),"21,587.50"
1/9/2017,General,Main Office,,Head Office Administration,"68,154.22"
1/9/2017,General,Design and Drafting,,"Shop Drawings Coordination, Builder Work","51,115.67"
1/9/2017,Electrical,Materials_EL,,Electrical Materials,"153,347.00"
1/9/2017,HVAC,Materials_HVAC,,HVAC Material,"42,596.39"
1/9/2017,Plumbing & Drainage,Materials_PD,,PD Material,"153,347.00"
1/9/2017,General,Site Admin,,Site Management Cost,"127,789.17"
1/9/2017,General,Site Labour,,Site Labour,"127,789.17"
1/9/2017,General,Site Misc,,Miscellaneous Items,"76,673.50"
